gene_id,gene_symbol,chromosome,start_pos,end_pos
Gene_172,GENE172,chr19,39585,194840
Gene_173,GENE173,chr17,36959,172970
Gene_174,GENE174,chr10,20686,111213
Gene_175,GENE175,chr8,86449,151336
Gene_176,GENE176,chr13,9729,115375
Gene_177,GENE177,chr9,97524,141172
Gene_178,GENE178,chr13,64702,105492
Gene_179,GENE179,chr7,32363,142907
Gene_180,GENE180,chr3,52000,187331
Gene_181,GENE181,chr2,92253,177937
Gene_182,GENE182,chr9,12739,143542
Gene_183,GENE183,chr21,17694,105786
Gene_184,GENE184,chr15,18558,168726
Gene_185,GENE185,chr21,20737,187056
Gene_186,GENE186,chr16,78073,118173
Gene_187,GENE187,chr22,15975,138474
Gene_188,GENE188,chr6,47522,119679
Gene_189,GENE189,chr14,89068,165458
Gene_190,GENE190,chr16,61790,155101
Gene_191,GENE191,chr8,71042,198620
Gene_192,GENE192,chr21,21407,113235
Gene_193,GENE193,chr3,45454,199133
Gene_194,GENE194,chr4,42698,125987
Gene_195,GENE195,chr3,87637,102410
Gene_196,GENE196,chr2,44977,150994
Gene_197,GENE197,chr19,41609,102443
Gene_198,GENE198,chr12,64628,115538
Gene_199,GENE199,chr14,53414,144931
Gene_200,GENE200,chr19,10322,163507
Gene_201,GENE201,chr8,81053,153007
Gene_202,GENE202,chr19,97123,118262
Gene_203,GENE203,chr4,46660,151465
Gene_204,GENE204,chr2,56770,160609
Gene_205,GENE205,chr21,3572,142003
Gene_206,GENE206,chr19,21107,105655
Gene_207,GENE207,chr17,25411,125415
Gene_208,GENE208,chr10,50677,113664
Gene_209,GENE209,chr1,15944,170018
Gene_210,GENE210,chr21,25430,197839
Gene_211,GENE211,chr21,66390,105107
Gene_212,GENE212,chr1,72599,114708
Gene_213,GENE213,chr18,80181,112697
Gene_214,GENE214,chr14,21230,144239
Gene_215,GENE215,chr8,77812,129626
Gene_216,GENE216,chr19,95817,160573
Gene_217,GENE217,chr7,64951,184904
Gene_218,GENE218,chr11,80075,169193
Gene_219,GENE219,chr22,38882,124374
Gene_220,GENE220,chr20,6711,165711
Gene_221,GENE221,chr11,90807,182923
Gene_222,GENE222,chr12,47599,179596
Gene_223,GENE223,chr3,10376,192551
Gene_224,GENE224,chr20,76723,115610
Gene_225,GENE225,chr5,55370,106899
Gene_226,GENE226,chr12,35638,127159
Gene_227,GENE227,chr7,79843,102369
Gene_228,GENE228,chr21,29578,160975
Gene_229,GENE229,chr7,95244,158294
Gene_230,GENE230,chr4,27205,180156
Gene_231,GENE231,chr15,86198,100349
Gene_232,GENE232,chr4,39556,188327
Gene_233,GENE233,chr2,99392,155215
Gene_234,GENE234,chr4,62193,177222
Gene_235,GENE235,chr6,37270,104267
Gene_236,GENE236,chr13,50110,138318
Gene_237,GENE237,chr14,29669,133528
Gene_238,GENE238,chr8,24402,101784
Gene_239,GENE239,chr21,39879,153289
Gene_240,GENE240,chr11,40031,141282
Gene_241,GENE241,chr17,83926,133248
Gene_242,GENE242,chr6,78866,113584
Gene_243,GENE243,chr15,62417,176212
Gene_244,GENE244,chr12,30192,178298
Gene_245,GENE245,chr9,85800,106054
Gene_246,GENE246,chr16,7104,151980
Gene_247,GENE247,chr20,79473,191675
Gene_248,GENE248,chr21,49976,167480
Gene_249,GENE249,chr2,95097,129546
Gene_250,GENE250,chr2,18540,132043
Gene_251,GENE251,chr4,49785,134524
Gene_252,GENE252,chr18,50945,170386
Gene_253,GENE253,chr11,26584,197440
Gene_254,GENE254,chr8,48743,125015
Gene_255,GENE255,chr22,87094,167780
Gene_256,GENE256,chr1,34126,166065
Gene_257,GENE257,chr21,9994,146149
Gene_258,GENE258,chr15,65367,137686
Gene_259,GENE259,chr14,52463,162930
Gene_260,GENE260,chr3,65492,153366
Gene_261,GENE261,chr17,81471,131300
Gene_262,GENE262,chr6,91427,114678
Gene_263,GENE263,chr12,67542,101207
Gene_264,GENE264,chr20,50459,129134
Gene_265,GENE265,chr16,37711,197494
Gene_266,GENE266,chr22,44360,101382
Gene_267,GENE267,chr1,40338,134244
Gene_268,GENE268,chr7,42019,141110
Gene_269,GENE269,chr2,73250,180227
Gene_270,GENE270,chr16,29856,144197
Gene_271,GENE271,chr16,9613,179744
Gene_272,GENE272,chr13,71469,199997
Gene_273,GENE273,chr10,77754,125530
Gene_274,GENE274,chr21,4697,111039
Gene_275,GENE275,chr17,87998,166727
Gene_276,GENE276,chr21,20810,137022
Gene_277,GENE277,chr2,16328,170424
Gene_278,GENE278,chr9,84749,192259
Gene_279,GENE279,chr9,33665,191084
Gene_280,GENE280,chr6,91538,125383
Gene_281,GENE281,chr4,4808,147244
Gene_282,GENE282,chr21,65049,103614
Gene_283,GENE283,chr9,32881,116514
Gene_284,GENE284,chr6,49455,124480
Gene_285,GENE285,chr22,96292,138854
Gene_286,GENE286,chr6,61535,181532
Gene_287,GENE287,chr15,9176,108753
Gene_288,GENE288,chr13,68075,118976
Gene_289,GENE289,chr4,59045,113931
Gene_290,GENE290,chr17,55760,165784
Gene_291,GENE291,chr2,49131,134294
Gene_292,GENE292,chr17,59422,187161
Gene_293,GENE293,chr22,37121,149014
Gene_294,GENE294,chr11,10676,185772
Gene_295,GENE295,chr11,15515,130473
Gene_296,GENE296,chr21,18971,192983
Gene_297,GENE297,chr3,92988,122108
Gene_298,GENE298,chr4,31330,156564
Gene_299,GENE299,chr22,74483,199475
Gene_300,GENE300,chr22,86030,113646
Gene_301,GENE301,chr22,27587,158559
Gene_302,GENE302,chr16,27738,170647
Gene_303,GENE303,chr11,88272,171850
Gene_304,GENE304,chr14,67029,160340
Gene_305,GENE305,chr16,83923,108731
Gene_306,GENE306,chr15,45605,128660
Gene_307,GENE307,chr5,43017,142836
Gene_308,GENE308,chr11,87616,104868
Gene_309,GENE309,chr14,76775,118354
Gene_310,GENE310,chr15,31925,117541
Gene_311,GENE311,chr16,49885,189198
Gene_312,GENE312,chr21,75917,144409
Gene_313,GENE313,chr15,91516,101250
Gene_314,GENE314,chr12,50824,188623
Gene_315,GENE315,chr15,5345,163681
Gene_316,GENE316,chr3,55070,158068
Gene_317,GENE317,chr18,50636,177568
Gene_318,GENE318,chr5,78761,160208
Gene_319,GENE319,chr7,86724,166783
Gene_320,GENE320,chr19,65929,172399
Gene_321,GENE321,chr7,29296,123237
Gene_322,GENE322,chr21,83225,195360
Gene_323,GENE323,chr3,29490,196555
Gene_324,GENE324,chr1,4294,112533
Gene_325,GENE325,chr18,47294,107021
Gene_326,GENE326,chr8,23859,104564
Gene_327,GENE327,chr11,50699,117149
Gene_328,GENE328,chr3,22411,103448
Gene_329,GENE329,chr8,31269,172211
Gene_330,GENE330,chr11,47639,196447
Gene_331,GENE331,chr3,96442,167803
Gene_332,GENE332,chr7,63448,147978
Gene_333,GENE333,chr7,5071,124635
Gene_334,GENE334,chr11,41889,157374
Gene_335,GENE335,chr14,43713,170156
Gene_336,GENE336,chr8,62234,160229
Gene_337,GENE337,chr6,44009,194951
Gene_338,GENE338,chr16,78099,136985
Gene_339,GENE339,chr15,55307,164033
Gene_340,GENE340,chr8,59777,129017
Gene_341,GENE341,chr13,32091,181452
Gene_342,GENE342,chr16,90473,157106
Gene_343,GENE343,chr6,64889,122293
Gene_344,GENE344,chr17,41180,152831
Gene_345,GENE345,chr16,93634,103922
Gene_346,GENE346,chr2,29703,114237
Gene_347,GENE347,chr7,98623,116852
Gene_348,GENE348,chr4,1605,190734
Gene_349,GENE349,chr18,45212,107743
Gene_350,GENE350,chr4,50046,122919
Gene_351,GENE351,chr12,5978,183838
Gene_352,GENE352,chr20,98741,138372
Gene_353,GENE353,chr16,49307,131260
Gene_354,GENE354,chr7,53739,100116
Gene_355,GENE355,chr21,11152,150325
Gene_356,GENE356,chr8,19205,163098
Gene_357,GENE357,chr3,92357,154691
Gene_358,GENE358,chr6,13299,154003
Gene_359,GENE359,chr4,73580,170394
Gene_360,GENE360,chr22,75704,151125
Gene_361,GENE361,chr20,99464,183785
Gene_362,GENE362,chr4,40793,100246
Gene_363,GENE363,chr6,86293,168128
Gene_364,GENE364,chr6,32814,153875
Gene_365,GENE365,chr14,12416,116186
Gene_366,GENE366,chr21,75335,145680
Gene_367,GENE367,chr6,52863,189659
Gene_368,GENE368,chr7,9165,156888
Gene_369,GENE369,chr17,86980,136496
Gene_370,GENE370,chr7,34031,173905
Gene_371,GENE371,chr17,81812,174425
Gene_372,GENE372,chr20,10981,155736
Gene_373,GENE373,chr4,14940,199017
Gene_374,GENE374,chr8,17778,101371
Gene_375,GENE375,chr14,46763,180720
Gene_376,GENE376,chr9,47651,179850
Gene_377,GENE377,chr19,45969,158173
Gene_378,GENE378,chr9,29467,178284
Gene_379,GENE379,chr16,49385,160013
Gene_380,GENE380,chr6,37422,132575
Gene_381,GENE381,chr22,31431,189842
Gene_382,GENE382,chr17,48602,152420
Gene_383,GENE383,chr6,46360,162406
Gene_384,GENE384,chr17,6319,177167
Gene_385,GENE385,chr7,73581,136280
Gene_386,GENE386,chr1,41023,103983
Gene_387,GENE387,chr19,28350,182082
Gene_388,GENE388,chr17,76019,172196
Gene_389,GENE389,chr16,25701,112986
Gene_390,GENE390,chr11,72388,135753
Gene_391,GENE391,chr21,70825,125863
Gene_392,GENE392,chr16,43581,159444
Gene_393,GENE393,chr17,95778,183026
Gene_394,GENE394,chr7,53954,168156
Gene_395,GENE395,chr15,38645,103611
Gene_396,GENE396,chr11,28662,157562
Gene_397,GENE397,chr22,80794,104260
Gene_398,GENE398,chr20,60376,133225
Gene_399,GENE399,chr11,44477,176916
Gene_400,GENE400,chr11,25150,104903
Gene_401,GENE401,chr6,84298,195205
Gene_402,GENE402,chr5,9934,117524
Gene_403,GENE403,chr19,39978,164252
Gene_404,GENE404,chr12,41647,143953
Gene_405,GENE405,chr11,83190,101035
Gene_406,GENE406,chr18,19003,190020
Gene_407,GENE407,chr3,65901,192098
Gene_408,GENE408,chr16,16996,127754
Gene_409,GENE409,chr7,47487,124740
Gene_410,GENE410,chr12,45413,153188
Gene_411,GENE411,chr1,35514,115315
Gene_412,GENE412,chr20,4474,142312
Gene_413,GENE413,chr22,63499,151494
Gene_414,GENE414,chr17,48671,187770
Gene_415,GENE415,chr12,89593,123395
Gene_416,GENE416,chr10,1147,177029
Gene_417,GENE417,chr12,91586,140448
Gene_418,GENE418,chr16,87846,134802
Gene_419,GENE419,chr8,68733,101782
Gene_420,GENE420,chr21,54994,130594
Gene_421,GENE421,chr8,59473,175585
Gene_422,GENE422,chr9,87323,137528
Gene_423,GENE423,chr2,23349,173170
Gene_424,GENE424,chr22,51952,130886
Gene_425,GENE425,chr1,42566,162529
Gene_426,GENE426,chr13,41526,147467
Gene_427,GENE427,chr16,72458,124297
Gene_428,GENE428,chr18,33282,186163
Gene_429,GENE429,chr19,3669,133808
Gene_430,GENE430,chr20,79545,147446
Gene_431,GENE431,chr22,68652,134159
Gene_432,GENE432,chr13,1095,137647
Gene_433,GENE433,chr10,72580,130898
Gene_434,GENE434,chr5,69528,144264
Gene_435,GENE435,chr14,33193,182076
Gene_436,GENE436,chr8,90549,184517
Gene_437,GENE437,chr13,20510,133749
Gene_438,GENE438,chr4,89738,120028
Gene_439,GENE439,chr10,28572,177222
Gene_440,GENE440,chr19,87800,191238
Gene_441,GENE441,chr11,70384,172435
Gene_442,GENE442,chr22,16239,130558
Gene_443,GENE443,chr9,74723,149305
Gene_444,GENE444,chr3,96558,171480
Gene_445,GENE445,chr17,86663,153959
Gene_446,GENE446,chr4,18684,175520
Gene_447,GENE447,chr17,4999,166857
Gene_448,GENE448,chr18,8649,115021
Gene_449,GENE449,chr13,11822,115684
Gene_450,GENE450,chr12,36778,141289
Gene_451,GENE451,chr21,18488,191599
Gene_452,GENE452,chr12,86920,161945
Gene_453,GENE453,chr9,76221,199990
Gene_454,GENE454,chr5,84947,196953
Gene_455,GENE455,chr18,79380,150982
Gene_456,GENE456,chr6,75026,175656
Gene_457,GENE457,chr5,76762,125524
Gene_458,GENE458,chr20,53397,123665
Gene_459,GENE459,chr10,95140,184617
Gene_460,GENE460,chr22,29433,120898
Gene_461,GENE461,chr18,34794,144498
Gene_462,GENE462,chr1,11572,139342
Gene_463,GENE463,chr7,94916,100415
Gene_464,GENE464,chr20,57326,146861
Gene_465,GENE465,chr4,78853,115658
Gene_466,GENE466,chr12,46544,102931
Gene_467,GENE467,chr5,50009,114612
Gene_468,GENE468,chr4,44464,104714
Gene_469,GENE469,chr1,9213,173998
Gene_470,GENE470,chr16,44911,112819
Gene_471,GENE471,chr5,94576,102900
Gene_472,GENE472,chr4,11122,168568
Gene_473,GENE473,chr18,53830,107503
Gene_474,GENE474,chr13,24834,159489
Gene_475,GENE475,chr16,69116,170971
Gene_476,GENE476,chr16,39785,167915
Gene_477,GENE477,chr6,83842,108509
Gene_478,GENE478,chr10,74195,125217
Gene_479,GENE479,chr10,31329,166649
Gene_480,GENE480,chr9,49181,118192
Gene_481,GENE481,chr6,47479,154015
Gene_482,GENE482,chr6,9361,188140
Gene_483,GENE483,chr2,68350,153016
Gene_484,GENE484,chr17,24669,140509
Gene_485,GENE485,chr7,76903,149055
Gene_486,GENE486,chr18,75796,198020
Gene_487,GENE487,chr20,7381,194941
Gene_488,GENE488,chr21,98426,149167
Gene_489,GENE489,chr15,46485,120578
Gene_490,GENE490,chr20,44206,194815
Gene_491,GENE491,chr20,37952,179482
Gene_492,GENE492,chr2,73491,101710
Gene_493,GENE493,chr6,47845,189434
Gene_494,GENE494,chr6,22300,165366
Gene_495,GENE495,chr11,22440,107808
Gene_496,GENE496,chr17,9663,154025
Gene_497,GENE497,chr5,48156,190503
Gene_498,GENE498,chr19,82368,180675
Gene_499,GENE499,chr3,51044,163637
Gene_500,GENE500,chr10,59289,134953
Gene_501,GENE501,chr10,24526,157002
Gene_502,GENE502,chr6,46506,124646
Gene_503,GENE503,chr15,27045,143805
Gene_504,GENE504,chr16,59767,128546
Gene_505,GENE505,chr4,45436,115037
Gene_506,GENE506,chr21,6628,114496
Gene_507,GENE507,chr17,21893,114218
Gene_508,GENE508,chr6,99554,184577
Gene_509,GENE509,chr8,55621,107135
Gene_510,GENE510,chr13,17585,195043
Gene_511,GENE511,chr20,12352,194690
Gene_512,GENE512,chr7,39058,102547
Gene_513,GENE513,chr2,26675,192466
Gene_514,GENE514,chr7,5036,170840
Gene_515,GENE515,chr3,57061,152100
Gene_516,GENE516,chr7,12738,111398
Gene_517,GENE517,chr14,27495,142840
Gene_518,GENE518,chr12,85701,145630
Gene_519,GENE519,chr2,63856,193402
Gene_520,GENE520,chr16,12490,148257
Gene_521,GENE521,chr20,96435,182618
Gene_522,GENE522,chr3,23276,179210
Gene_523,GENE523,chr17,50992,158164
Gene_524,GENE524,chr3,88669,195683
Gene_525,GENE525,chr22,80252,126568
Gene_526,GENE526,chr20,6542,110856
Gene_527,GENE527,chr8,65403,128745
Gene_528,GENE528,chr2,48589,199747
Gene_529,GENE529,chr2,45799,123488
Gene_530,GENE530,chr2,31199,103848
Gene_531,GENE531,chr4,25879,159239
Gene_532,GENE532,chr1,37219,174786
Gene_533,GENE533,chr22,97230,173236
Gene_534,GENE534,chr15,7830,169688
Gene_535,GENE535,chr10,98919,170828
Gene_536,GENE536,chr13,70500,192741
Gene_537,GENE537,chr3,44394,174110
Gene_538,GENE538,chr16,50055,172088
Gene_539,GENE539,chr20,21571,196252
Gene_540,GENE540,chr4,57088,184057
Gene_541,GENE541,chr21,31090,153069
Gene_542,GENE542,chr13,44812,176434
Gene_543,GENE543,chr20,81820,124424
Gene_544,GENE544,chr16,99293,198594
Gene_545,GENE545,chr20,40633,113967
Gene_546,GENE546,chr2,32750,181482
Gene_547,GENE547,chr17,24160,187173
Gene_548,GENE548,chr8,13302,143136
Gene_549,GENE549,chr7,31458,100781
Gene_550,GENE550,chr22,94287,178334
Gene_551,GENE551,chr12,41434,137347
Gene_552,GENE552,chr8,96006,192293
Gene_553,GENE553,chr22,75087,146465
Gene_554,GENE554,chr13,26410,128254
Gene_555,GENE555,chr1,47833,151609
Gene_556,GENE556,chr14,50107,117887
Gene_557,GENE557,chr3,30515,144715
Gene_558,GENE558,chr20,95976,181641
Gene_559,GENE559,chr9,38536,196730
Gene_560,GENE560,chr6,2680,112069
Gene_561,GENE561,chr14,12421,125979
Gene_562,GENE562,chr3,45563,166062
Gene_563,GENE563,chr9,90188,116963
Gene_564,GENE564,chr10,50594,101036
Gene_565,GENE565,chr8,57197,148034
Gene_566,GENE566,chr1,98727,175027
Gene_567,GENE567,chr21,49364,170829
Gene_568,GENE568,chr6,17361,171025
Gene_569,GENE569,chr20,31955,100871
Gene_570,GENE570,chr6,42085,104442
Gene_571,GENE571,chr12,92733,193473
Gene_572,GENE572,chr6,71352,185550
Gene_573,GENE573,chr1,50834,177116
Gene_574,GENE574,chr9,87871,140739
Gene_575,GENE575,chr4,69339,156914
Gene_576,GENE576,chr16,77191,144640
Gene_577,GENE577,chr6,25465,137745
Gene_578,GENE578,chr11,90107,181912
Gene_579,GENE579,chr21,54486,191470
Gene_580,GENE580,chr13,99549,139207
Gene_581,GENE581,chr10,36986,142116
Gene_582,GENE582,chr17,89701,198182
Gene_583,GENE583,chr7,39227,113893
Gene_584,GENE584,chr17,69951,108248
Gene_585,GENE585,chr12,43998,187328
Gene_586,GENE586,chr20,45645,178164
Gene_587,GENE587,chr5,39822,147385
Gene_588,GENE588,chr2,92353,138036
Gene_589,GENE589,chr5,76285,141629
Gene_590,GENE590,chr16,64731,198759
Gene_591,GENE591,chr17,40269,106692
Gene_592,GENE592,chr7,64084,128651
Gene_593,GENE593,chr8,79136,111550
Gene_594,GENE594,chr12,66650,104577
Gene_595,GENE595,chr19,80670,100583
Gene_596,GENE596,chr15,48988,159446
Gene_597,GENE597,chr14,35739,113464
Gene_598,GENE598,chr5,74389,119131
Gene_599,GENE599,chr18,20102,127973
Gene_600,GENE600,chr8,1416,118298
Gene_601,GENE601,chr18,58132,199639
Gene_602,GENE602,chr21,43081,177524
Gene_603,GENE603,chr5,47137,159215
Gene_604,GENE604,chr16,30359,123848
Gene_605,GENE605,chr17,94542,155804
Gene_606,GENE606,chr18,56417,188768
Gene_607,GENE607,chr17,5717,171250
Gene_608,GENE608,chr15,58691,196213
Gene_609,GENE609,chr6,49735,162220
Gene_610,GENE610,chr22,10848,128996
Gene_611,GENE611,chr10,73017,117811
Gene_612,GENE612,chr10,47141,111888
Gene_613,GENE613,chr12,63205,142201
Gene_614,GENE614,chr12,11174,192341
Gene_615,GENE615,chr8,22758,139092
Gene_616,GENE616,chr13,61006,145794
Gene_617,GENE617,chr21,23571,128880
Gene_618,GENE618,chr8,96869,136088
Gene_619,GENE619,chr10,91690,182158
Gene_620,GENE620,chr2,21235,140148
Gene_621,GENE621,chr21,39989,149739
Gene_622,GENE622,chr6,24362,185038
Gene_623,GENE623,chr22,89665,178862
Gene_624,GENE624,chr1,85115,169587
Gene_625,GENE625,chr4,21834,141575
Gene_626,GENE626,chr6,27728,174960
Gene_627,GENE627,chr14,18912,128083
Gene_628,GENE628,chr7,6056,169746
Gene_629,GENE629,chr4,95725,141074
Gene_630,GENE630,chr17,51059,165670
Gene_631,GENE631,chr12,20277,126884
Gene_632,GENE632,chr4,99687,140479
Gene_633,GENE633,chr17,22185,146727
Gene_634,GENE634,chr9,95973,167378
Gene_635,GENE635,chr4,59531,129826
Gene_636,GENE636,chr12,95848,118069
Gene_637,GENE637,chr5,19210,172856
Gene_638,GENE638,chr7,89567,174530
Gene_639,GENE639,chr15,24259,189933
Gene_640,GENE640,chr21,12151,123932
Gene_641,GENE641,chr10,29511,117813
Gene_642,GENE642,chr7,46667,190794
Gene_643,GENE643,chr18,31267,110842
Gene_644,GENE644,chr10,35529,124541
Gene_645,GENE645,chr19,54065,193680
Gene_646,GENE646,chr18,14883,160392
Gene_647,GENE647,chr10,41572,169568
Gene_648,GENE648,chr1,15901,142124
Gene_649,GENE649,chr19,31835,180478
Gene_650,GENE650,chr8,37793,160079
Gene_651,GENE651,chr6,22506,143451
Gene_652,GENE652,chr11,79148,147172
Gene_653,GENE653,chr6,66674,102194
Gene_654,GENE654,chr8,25208,143677
Gene_655,GENE655,chr9,30459,181648
Gene_656,GENE656,chr21,95952,186390
Gene_657,GENE657,chr7,16925,111491
Gene_658,GENE658,chr14,2675,194931
Gene_659,GENE659,chr15,98744,134766
Gene_660,GENE660,chr2,68498,116652
Gene_661,GENE661,chr2,44096,130162
Gene_662,GENE662,chr17,17938,188692
Gene_663,GENE663,chr8,4271,134911
