peak_id,chromosome,start_pos,end_pos
Peak_67,chr19,50355,167753
Peak_68,chr1,45500,161816
Peak_69,chr1,39536,169383
Peak_70,chr7,87399,135074
Peak_71,chr5,22808,101296
Peak_72,chr15,5601,105754
Peak_73,chr13,45038,145007
Peak_74,chr9,79492,112868
Peak_75,chr6,60796,174086
Peak_76,chr21,58948,164211
Peak_77,chr11,20670,157152
Peak_78,chr4,24831,129047
Peak_79,chr17,80814,112180
Peak_80,chr2,28820,167345
Peak_81,chr1,6768,191071
Peak_82,chr4,36713,110280
Peak_83,chr10,45653,114618
Peak_84,chr3,36645,195708
Peak_85,chr16,62386,152252
Peak_86,chr9,5754,129980
Peak_87,chr14,65311,169751
Peak_88,chr12,63726,159029
Peak_89,chr22,66114,106058
Peak_90,chr7,61712,109648
Peak_91,chr1,9261,133019
Peak_92,chr13,98454,154528
Peak_93,chr18,79743,197176
Peak_94,chr5,57604,167381
Peak_95,chr16,87876,106176
Peak_96,chr6,19937,132948
Peak_97,chr20,3022,134293
Peak_98,chr2,50574,137587
Peak_99,chr4,78154,153812
Peak_100,chr19,58357,152735
Peak_101,chr10,69859,186369
Peak_102,chr16,93910,182023
Peak_103,chr18,30375,112148
Peak_104,chr13,99279,182753
Peak_105,chr9,90389,159476
Peak_106,chr20,3408,144697
Peak_107,chr17,55413,112774
Peak_108,chr10,29461,122376
Peak_109,chr13,8200,190251
Peak_110,chr19,56919,179025
Peak_111,chr4,98985,176410
Peak_112,chr3,27386,187231
Peak_113,chr8,88051,185358
Peak_114,chr17,30057,196776
Peak_115,chr7,45147,127684
Peak_116,chr2,80478,192804
Peak_117,chr18,24130,192205
Peak_118,chr2,59324,157390
Peak_119,chr20,72606,136882
Peak_120,chr18,26412,123612
Peak_121,chr6,77308,117982
Peak_122,chr2,14950,109956
Peak_123,chr15,85947,199358
Peak_124,chr19,45106,101823
Peak_125,chr9,38068,105124
Peak_126,chr6,82366,151745
Peak_127,chr21,15048,121629
Peak_128,chr2,72513,155058
Peak_129,chr18,11341,126549
Peak_130,chr4,87524,101335
Peak_131,chr15,50235,186388
Peak_132,chr13,42541,108328
Peak_133,chr3,23827,192814
Peak_134,chr11,3860,117092
Peak_135,chr13,91368,103482
Peak_136,chr9,39076,135285
Peak_137,chr12,35983,113663
Peak_138,chr8,74007,115080
Peak_139,chr20,99037,171475
Peak_140,chr7,25882,179680
Peak_141,chr13,47370,137804
Peak_142,chr20,7746,111206
Peak_143,chr20,71411,125357
Peak_144,chr20,56627,127199
Peak_145,chr11,14965,152299
Peak_146,chr11,50979,136791
Peak_147,chr14,69254,179659
Peak_148,chr16,57266,140692
Peak_149,chr18,19971,154898
Peak_150,chr8,36896,125058
Peak_151,chr7,55581,150338
Peak_152,chr1,95038,122037
Peak_153,chr22,12055,154418
Peak_154,chr18,34046,198944
Peak_155,chr20,60597,193138
Peak_156,chr18,31969,191586
Peak_157,chr3,68272,123680
Peak_158,chr17,44995,172622
Peak_159,chr2,68573,112717
Peak_160,chr16,36318,119767
Peak_161,chr16,47869,174229
Peak_162,chr5,22363,133727
Peak_163,chr7,47106,100772
Peak_164,chr20,86232,104496
Peak_165,chr15,98934,186707
Peak_166,chr11,37426,179514
Peak_167,chr15,54153,111664
Peak_168,chr16,18777,184618
Peak_169,chr21,93396,126505
Peak_170,chr10,21492,103065
Peak_171,chr21,61932,125636
Peak_172,chr7,91236,154244
Peak_173,chr2,41018,180145
Peak_174,chr13,81403,141958
Peak_175,chr1,25067,192147
Peak_176,chr14,71172,183281
Peak_177,chr14,34419,122756
Peak_178,chr8,27903,101595
Peak_179,chr22,83874,105016
Peak_180,chr21,56618,156936
Peak_181,chr2,41599,157296
Peak_182,chr4,96462,149082
Peak_183,chr2,72181,156784
Peak_184,chr4,84954,191010
Peak_185,chr11,6936,178868
Peak_186,chr2,26106,124545
Peak_187,chr9,85807,166045
Peak_188,chr7,93892,188023
Peak_189,chr1,90601,114069
Peak_190,chr14,9623,147396
Peak_191,chr20,59517,113408
Peak_192,chr21,57136,151579
Peak_193,chr8,68905,117104
Peak_194,chr1,22872,145123
Peak_195,chr22,80462,199688
Peak_196,chr7,61585,190467
Peak_197,chr4,93170,177068
Peak_198,chr17,43795,111108
Peak_199,chr21,59876,114941
Peak_200,chr16,32647,197963
Peak_201,chr8,24049,182171
Peak_202,chr19,97612,166420
Peak_203,chr13,20987,173172
Peak_204,chr12,85863,179703
Peak_205,chr14,28831,118744
Peak_206,chr6,43207,114308
Peak_207,chr20,38297,103097
Peak_208,chr8,16955,133527
Peak_209,chr7,61272,161862
Peak_210,chr3,19744,163821
Peak_211,chr10,13862,180334
Peak_212,chr1,16900,164853
Peak_213,chr12,49307,124120
Peak_214,chr17,68394,199962
Peak_215,chr6,11158,141920
Peak_216,chr17,90870,104840
Peak_217,chr10,40351,108233
Peak_218,chr13,43188,176532
Peak_219,chr2,13409,136314
Peak_220,chr21,53694,150573
Peak_221,chr15,9946,177955
Peak_222,chr3,84015,172719
Peak_223,chr8,1144,141966
Peak_224,chr4,95733,101810
Peak_225,chr5,47975,123935
Peak_226,chr13,19601,154256
Peak_227,chr1,42156,105823
Peak_228,chr11,85838,180170
Peak_229,chr19,42342,198492
Peak_230,chr21,85018,139349
Peak_231,chr17,16125,166945
Peak_232,chr2,49908,124093
Peak_233,chr6,18299,169171
Peak_234,chr7,41771,120929
Peak_235,chr16,66972,181929
Peak_236,chr20,62687,118138
Peak_237,chr19,28101,131570
Peak_238,chr5,51235,165791
Peak_239,chr3,57839,184977
Peak_240,chr22,58893,142266
Peak_241,chr19,36929,169274
Peak_242,chr3,99326,177435
Peak_243,chr9,7819,104965
Peak_244,chr1,22132,193315
Peak_245,chr8,96056,163195
Peak_246,chr10,38328,175636
Peak_247,chr14,15198,197698
Peak_248,chr18,46507,116855
Peak_249,chr3,84031,145225
Peak_250,chr2,65768,172166
Peak_251,chr17,52290,102169
Peak_252,chr8,93127,116848
Peak_253,chr20,5905,139851
Peak_254,chr4,85629,137283
Peak_255,chr8,92677,107475
Peak_256,chr2,84408,137158
Peak_257,chr13,35541,152797
Peak_258,chr8,74759,111523
Peak_259,chr3,42257,121173
Peak_260,chr7,99577,101777
Peak_261,chr11,61740,184134
Peak_262,chr22,25286,166631
Peak_263,chr12,59659,179918
Peak_264,chr6,56408,157586
Peak_265,chr9,58051,151750
Peak_266,chr21,52284,191534
Peak_267,chr6,72878,178691
Peak_268,chr7,35600,147808
Peak_269,chr13,18195,179175
Peak_270,chr5,2966,116037
Peak_271,chr22,90430,195375
Peak_272,chr2,91064,148029
Peak_273,chr21,84178,135948
Peak_274,chr17,12888,171315
Peak_275,chr1,95392,190931
Peak_276,chr19,99252,141548
Peak_277,chr13,48392,129129
Peak_278,chr2,44715,141151
Peak_279,chr10,12629,185987
Peak_280,chr4,68135,129903
Peak_281,chr11,56062,132107
Peak_282,chr11,28609,108276
Peak_283,chr20,86109,192363
Peak_284,chr21,29000,185380
Peak_285,chr12,89715,118758
Peak_286,chr15,54202,193828
Peak_287,chr21,69542,195412
Peak_288,chr7,4271,152682
Peak_289,chr6,30997,159709
Peak_290,chr17,22189,180809
Peak_291,chr4,80555,189540
Peak_292,chr8,52752,107749
Peak_293,chr19,73876,190933
Peak_294,chr19,9712,187294
Peak_295,chr22,9100,146179
Peak_296,chr5,16703,147383
Peak_297,chr2,54613,112585
Peak_298,chr12,6608,196964
Peak_299,chr7,45997,168059
Peak_300,chr6,6489,104112
Peak_301,chr13,17532,172716
Peak_302,chr21,85270,134544
Peak_303,chr9,45876,136074
Peak_304,chr21,32114,194165
Peak_305,chr12,61677,198980
Peak_306,chr21,31750,104953
Peak_307,chr12,95135,149844
Peak_308,chr8,50249,156428
Peak_309,chr8,93201,102578
Peak_310,chr5,46637,183446
Peak_311,chr2,11766,100144
Peak_312,chr2,18140,198147
Peak_313,chr2,43851,153675
Peak_314,chr5,38360,151013
Peak_315,chr2,27767,108641
Peak_316,chr12,65264,120791
Peak_317,chr22,41311,190444
Peak_318,chr6,21743,194451
Peak_319,chr21,68088,129798
Peak_320,chr10,11135,177743
Peak_321,chr19,16951,112652
Peak_322,chr14,29213,145847
Peak_323,chr15,55977,108434
Peak_324,chr18,14044,129824
Peak_325,chr11,47895,142270
Peak_326,chr13,44301,144761
Peak_327,chr10,50977,133711
Peak_328,chr8,70040,185088
Peak_329,chr11,92901,175591
Peak_330,chr19,67248,141200
Peak_331,chr1,27150,187525
Peak_332,chr5,48616,189381
Peak_333,chr4,8331,192493
Peak_334,chr19,85566,187423
Peak_335,chr19,10869,152599
Peak_336,chr7,85560,116634
Peak_337,chr13,63344,123839
Peak_338,chr1,68995,184632
Peak_339,chr17,65067,109039
Peak_340,chr5,35955,196151
Peak_341,chr18,44413,172962
Peak_342,chr3,18574,155745
Peak_343,chr15,32377,121570
Peak_344,chr20,10205,137159
Peak_345,chr2,54223,125693
Peak_346,chr1,67219,142504
Peak_347,chr19,92963,170886
Peak_348,chr12,53719,112994
Peak_349,chr10,47757,172928
Peak_350,chr6,4947,163078
Peak_351,chr6,35030,151129
Peak_352,chr14,30929,152503
Peak_353,chr10,1734,146434
Peak_354,chr2,95919,106799
Peak_355,chr6,59904,101810
Peak_356,chr16,57705,141403
Peak_357,chr8,71802,112384
Peak_358,chr17,80695,158411
Peak_359,chr19,44147,195620
Peak_360,chr12,32823,142260
Peak_361,chr2,55301,196176
Peak_362,chr4,60205,142609
Peak_363,chr8,47856,189022
Peak_364,chr17,85597,177293
Peak_365,chr16,28611,144278
Peak_366,chr4,79822,131637
Peak_367,chr20,45751,103811
Peak_368,chr7,42627,168993
Peak_369,chr21,52141,107346
Peak_370,chr16,22415,134551
Peak_371,chr21,75722,128109
Peak_372,chr15,85059,103729
Peak_373,chr22,1122,141326
Peak_374,chr17,6924,115935
Peak_375,chr13,41426,109604
Peak_376,chr19,15425,117020
Peak_377,chr19,35737,148360
Peak_378,chr2,83708,159250
Peak_379,chr11,5465,175002
Peak_380,chr7,1220,179318
Peak_381,chr1,68837,166646
Peak_382,chr20,64038,194923
Peak_383,chr7,40539,114824
Peak_384,chr19,65176,132265
Peak_385,chr3,87653,168649
Peak_386,chr16,72239,139764
Peak_387,chr8,64324,148719
Peak_388,chr19,55904,102446
Peak_389,chr2,75321,103733
Peak_390,chr20,59007,160320
Peak_391,chr8,25542,108286
Peak_392,chr21,1891,154548
Peak_393,chr16,41056,127503
Peak_394,chr15,11645,141185
Peak_395,chr3,89787,162885
Peak_396,chr13,64625,176779
Peak_397,chr11,55038,159689
Peak_398,chr11,9799,179218
Peak_399,chr19,18861,140017
Peak_400,chr8,13113,158002
Peak_401,chr12,61585,185184
Peak_402,chr17,1133,136419
Peak_403,chr8,12697,103858
Peak_404,chr10,83765,111290
Peak_405,chr12,67089,172548
Peak_406,chr4,13171,174001
Peak_407,chr20,97210,157437
Peak_408,chr5,97657,178209
Peak_409,chr18,68878,176168
Peak_410,chr8,48379,170174
Peak_411,chr21,90750,168504
Peak_412,chr11,85556,136063
Peak_413,chr12,2810,190507
Peak_414,chr5,51464,102459
Peak_415,chr11,76340,123195
Peak_416,chr11,58751,177484
Peak_417,chr1,15825,174373
Peak_418,chr8,66564,153469
Peak_419,chr5,80168,122558
Peak_420,chr15,81756,132702
Peak_421,chr10,27720,172904
Peak_422,chr12,65334,153057
Peak_423,chr10,25258,141380
Peak_424,chr5,95868,197741
Peak_425,chr1,41877,187193
Peak_426,chr20,45221,192572
Peak_427,chr12,65381,101533
Peak_428,chr19,40718,110609
Peak_429,chr12,88008,170291
Peak_430,chr19,20066,109333
Peak_431,chr21,37940,137233
Peak_432,chr1,36049,173731
Peak_433,chr19,45308,170864
Peak_434,chr11,54396,111635
Peak_435,chr19,3645,163909
Peak_436,chr9,85149,113049
Peak_437,chr3,29804,198940
Peak_438,chr13,47898,138682
Peak_439,chr7,15752,163358
Peak_440,chr22,17182,195085
Peak_441,chr2,52353,157035
Peak_442,chr4,15337,192950
Peak_443,chr6,21833,183048
Peak_444,chr17,6562,134672
Peak_445,chr4,64310,143356
Peak_446,chr22,93417,147141
Peak_447,chr2,24802,192419
Peak_448,chr5,4941,170984
Peak_449,chr7,29063,124764
Peak_450,chr17,4568,126189
Peak_451,chr3,83738,128749
Peak_452,chr12,75984,172705
Peak_453,chr12,76696,125734
Peak_454,chr12,32895,191616
Peak_455,chr1,23644,141078
Peak_456,chr18,66499,101675
Peak_457,chr8,12527,117611
Peak_458,chr9,7737,197560
Peak_459,chr14,38184,120937
Peak_460,chr5,99606,152932
Peak_461,chr13,35555,105840
Peak_462,chr14,86961,126762
Peak_463,chr9,40842,198603
Peak_464,chr21,2694,117334
Peak_465,chr19,31350,101962
Peak_466,chr14,32409,168297
Peak_467,chr11,13542,112051
Peak_468,chr5,49114,157426
Peak_469,chr5,15259,193963
Peak_470,chr20,16592,170748
Peak_471,chr1,27600,171788
Peak_472,chr7,81622,126767
Peak_473,chr17,70188,149971
Peak_474,chr6,92731,144090
Peak_475,chr7,18230,174000
Peak_476,chr20,35013,148249
Peak_477,chr1,72832,182482
Peak_478,chr10,84899,148069
Peak_479,chr19,72549,102792
Peak_480,chr8,29970,112869
Peak_481,chr7,19057,116841
Peak_482,chr16,71587,154687
Peak_483,chr16,49898,155146
Peak_484,chr4,68581,126283
Peak_485,chr11,36513,149220
Peak_486,chr3,76632,164115
Peak_487,chr2,20103,116893
Peak_488,chr8,78971,108055
Peak_489,chr13,40109,126876
Peak_490,chr11,7585,106784
Peak_491,chr20,50408,127645
Peak_492,chr11,74516,194676
Peak_493,chr9,83530,132862
Peak_494,chr3,25351,174910
Peak_495,chr20,50260,164277
Peak_496,chr21,63543,161994
Peak_497,chr11,1062,190274
Peak_498,chr12,58050,133043
Peak_499,chr4,59472,145327
Peak_500,chr2,75763,116166
Peak_501,chr19,9451,137676
Peak_502,chr11,54511,135869
Peak_503,chr21,73258,139041
Peak_504,chr20,41156,159684
Peak_505,chr21,20710,138246
Peak_506,chr18,53860,172579
Peak_507,chr11,36243,159173
Peak_508,chr16,17802,178583
Peak_509,chr16,4861,151905
Peak_510,chr6,38316,197628
Peak_511,chr22,93029,156520
Peak_512,chr16,88939,151568
Peak_513,chr17,4349,108695
Peak_514,chr18,69690,161328
Peak_515,chr9,88116,186698
Peak_516,chr8,53312,192919
Peak_517,chr1,51966,154398
Peak_518,chr20,22397,154526
Peak_519,chr22,94865,183435
Peak_520,chr7,20652,190020
Peak_521,chr13,81503,176854
Peak_522,chr21,93185,122829
Peak_523,chr15,68963,163796
Peak_524,chr14,73224,163450
Peak_525,chr17,44140,123055
Peak_526,chr5,77565,144351
Peak_527,chr19,31514,148233
Peak_528,chr11,86872,181005
Peak_529,chr10,21352,122448
Peak_530,chr3,70464,197203
Peak_531,chr2,19082,146737
Peak_532,chr20,5665,154734
Peak_533,chr15,53723,171983
Peak_534,chr13,33962,151973
Peak_535,chr17,19094,124438
Peak_536,chr20,87700,148305
Peak_537,chr15,84093,108711
Peak_538,chr14,94771,123843
Peak_539,chr1,10800,147140
Peak_540,chr13,93498,170445
Peak_541,chr9,45887,147618
Peak_542,chr2,98600,135412
Peak_543,chr13,53972,182478
Peak_544,chr7,27085,110463
Peak_545,chr6,37693,109142
Peak_546,chr22,45649,195510
Peak_547,chr20,76976,193265
Peak_548,chr3,81087,125096
Peak_549,chr21,54084,107267
Peak_550,chr4,75968,129131
Peak_551,chr6,11210,120309
Peak_552,chr22,42732,142944
Peak_553,chr16,93974,154619
Peak_554,chr6,1387,134798
Peak_555,chr21,73786,147808
Peak_556,chr5,35778,198880
Peak_557,chr22,93514,165696
Peak_558,chr17,34971,168262
Peak_559,chr15,17647,164795
Peak_560,chr10,80993,141495
Peak_561,chr15,41299,134422
Peak_562,chr13,81829,152800
Peak_563,chr12,10555,104814
Peak_564,chr19,29144,181696
Peak_565,chr21,70939,120028
Peak_566,chr15,2983,198100
Peak_567,chr11,35854,174994
Peak_568,chr13,56550,170008
Peak_569,chr22,82128,147800
Peak_570,chr18,8043,170544
Peak_571,chr6,51835,146370
Peak_572,chr21,64901,100776
Peak_573,chr5,45194,124053
Peak_574,chr5,83846,102809
Peak_575,chr9,77061,159527
Peak_576,chr20,9143,112515
Peak_577,chr8,69182,173490
Peak_578,chr21,28610,114443
Peak_579,chr13,8361,176089
Peak_580,chr13,66309,113804
Peak_581,chr4,59701,147237
Peak_582,chr6,90308,119177
Peak_583,chr12,6316,135408
Peak_584,chr18,98053,171447
Peak_585,chr14,54634,143030
Peak_586,chr17,10723,176067
Peak_587,chr3,26654,127697
Peak_588,chr1,53425,195991
Peak_589,chr18,27387,122053
Peak_590,chr11,40415,172901
Peak_591,chr13,92698,122355
Peak_592,chr15,52802,100646
Peak_593,chr8,56548,177217
Peak_594,chr18,72088,105607
Peak_595,chr11,23238,188480
Peak_596,chr2,36216,176103
Peak_597,chr4,61404,154170
Peak_598,chr10,72746,117212
Peak_599,chr9,85196,111149
Peak_600,chr3,50383,118248
Peak_601,chr13,81729,134508
Peak_602,chr2,68808,164765
Peak_603,chr9,67104,104173
Peak_604,chr14,5672,189713
Peak_605,chr14,24850,155419
Peak_606,chr20,24439,161998
Peak_607,chr22,38137,135917
Peak_608,chr14,67943,126557
Peak_609,chr22,80466,137361
Peak_610,chr8,95572,135123
Peak_611,chr7,25164,134985
Peak_612,chr12,1136,155562
Peak_613,chr18,46011,151648
Peak_614,chr17,98446,106653
Peak_615,chr17,68852,172377
Peak_616,chr5,83173,125790
Peak_617,chr15,92497,177897
Peak_618,chr7,43841,164258
Peak_619,chr12,77799,168600
Peak_620,chr7,4766,127747
Peak_621,chr21,93578,110856
Peak_622,chr15,28433,182380
Peak_623,chr15,20024,156728
Peak_624,chr6,89422,118113
Peak_625,chr21,94849,178998
Peak_626,chr17,37729,166419
Peak_627,chr2,15548,141286
Peak_628,chr10,91554,195281
Peak_629,chr10,42534,125043
Peak_630,chr10,95584,101463
Peak_631,chr22,62459,125757
Peak_632,chr13,19405,104918
Peak_633,chr8,39089,184804
Peak_634,chr10,76146,199420
Peak_635,chr12,92078,120819
Peak_636,chr14,89156,119237
Peak_637,chr16,20284,132943
Peak_638,chr21,7134,133039
Peak_639,chr20,32957,106289
Peak_640,chr14,6860,154062
Peak_641,chr19,63731,123484
Peak_642,chr16,10318,135430
Peak_643,chr10,22206,124434
Peak_644,chr5,84221,103013
Peak_645,chr4,85686,110938
Peak_646,chr1,19788,128338
Peak_647,chr21,81517,184950
Peak_648,chr2,61406,181337
Peak_649,chr20,81256,175098
Peak_650,chr6,97997,147210
Peak_651,chr17,9514,181654
Peak_652,chr10,56930,122309
Peak_653,chr7,74616,185108
Peak_654,chr6,81072,112297
Peak_655,chr21,79066,104053
Peak_656,chr3,98206,171731
Peak_657,chr13,27447,158442
Peak_658,chr20,60681,151808
Peak_659,chr21,26826,103770
Peak_660,chr15,64849,137948
Peak_661,chr4,88983,168278
Peak_662,chr20,80878,159112
Peak_663,chr14,13454,154966
Peak_664,chr6,65181,185610
Peak_665,chr8,75411,144934
Peak_666,chr2,80066,156991
Peak_667,chr15,89184,178870
Peak_668,chr3,95824,120830
Peak_669,chr19,26691,189805
Peak_670,chr20,13819,185130
Peak_671,chr8,11647,120951
Peak_672,chr4,3065,133047
Peak_673,chr2,41686,179740
Peak_674,chr7,89448,199420
Peak_675,chr18,85952,184083
Peak_676,chr6,74464,154994
Peak_677,chr21,70434,182317
Peak_678,chr20,67798,139903
Peak_679,chr9,63627,116390
Peak_680,chr3,33941,122707
Peak_681,chr10,11381,109676
Peak_682,chr12,19769,177462
Peak_683,chr17,66951,125723
Peak_684,chr16,8383,148344
Peak_685,chr4,57463,107148
Peak_686,chr13,2364,174976
Peak_687,chr7,90007,133012
Peak_688,chr9,39215,149358
Peak_689,chr3,94332,192490
Peak_690,chr14,86655,100366
Peak_691,chr11,74967,114771
Peak_692,chr6,20926,197337
Peak_693,chr15,4490,111963
Peak_694,chr1,68696,188038
Peak_695,chr8,91446,109154
Peak_696,chr21,72557,151207
Peak_697,chr10,68498,173815
Peak_698,chr13,12780,136429
Peak_699,chr1,53182,169255
Peak_700,chr19,43787,151449
Peak_701,chr8,85334,126502
Peak_702,chr4,72553,164128
Peak_703,chr17,82570,190584
Peak_704,chr10,38213,172431
Peak_705,chr15,48542,166054
Peak_706,chr11,2406,168516
Peak_707,chr13,43468,160835
Peak_708,chr7,60622,164905
Peak_709,chr7,17227,120942
Peak_710,chr1,51533,193607
Peak_711,chr7,39259,179916
Peak_712,chr18,22861,105582
Peak_713,chr4,19798,108846
Peak_714,chr17,26881,104785
Peak_715,chr14,50530,190534
Peak_716,chr13,88488,198254
Peak_717,chr22,36984,121763
Peak_718,chr19,21163,178313
Peak_719,chr2,23385,192177
Peak_720,chr10,19116,194866
Peak_721,chr18,69972,195501
Peak_722,chr16,48326,135013
Peak_723,chr20,70982,157017
Peak_724,chr7,58512,116341
Peak_725,chr22,61748,121151
Peak_726,chr8,44381,171156
Peak_727,chr21,90163,102394
Peak_728,chr9,86980,106573
Peak_729,chr8,56367,118029
Peak_730,chr10,50759,171258
Peak_731,chr13,2610,137325
Peak_732,chr2,86024,162556
Peak_733,chr22,35472,183056
Peak_734,chr20,76370,195707
Peak_735,chr5,81331,135500
Peak_736,chr4,59368,156221
Peak_737,chr16,39366,183426
Peak_738,chr8,76474,139564
Peak_739,chr17,62369,139018
Peak_740,chr4,44438,186566
Peak_741,chr19,37446,165890
Peak_742,chr20,8307,191014
Peak_743,chr7,97103,135152
Peak_744,chr9,38748,167281
Peak_745,chr11,80641,126273
Peak_746,chr10,92845,119501
Peak_747,chr6,53530,120874
Peak_748,chr14,93015,174386
Peak_749,chr19,73041,185936
Peak_750,chr16,96776,146629
Peak_751,chr14,2298,120023
Peak_752,chr1,70385,151595
Peak_753,chr10,9209,117549
Peak_754,chr15,25498,194697
Peak_755,chr15,4041,165619
Peak_756,chr15,15121,164670
Peak_757,chr21,30638,103327
Peak_758,chr2,84191,169717
Peak_759,chr14,26824,189366
Peak_760,chr12,33056,153405
Peak_761,chr17,97521,140598
Peak_762,chr5,75930,193325
Peak_763,chr1,1113,195469
Peak_764,chr21,80377,148893
Peak_765,chr15,94960,106548
Peak_766,chr21,11868,122846
Peak_767,chr18,28487,112203
Peak_768,chr18,31865,178826
Peak_769,chr16,9028,179753
Peak_770,chr8,78407,104537
Peak_771,chr6,76885,122460
Peak_772,chr19,52151,101176
Peak_773,chr15,63743,190159
Peak_774,chr7,68642,198033
Peak_775,chr10,85125,103530
Peak_776,chr9,19742,168453
Peak_777,chr3,67076,195159
Peak_778,chr15,65069,107526
Peak_779,chr7,27784,137861
Peak_780,chr8,12687,171133
Peak_781,chr9,64462,153347
Peak_782,chr14,24401,145760
Peak_783,chr8,10558,174065
Peak_784,chr9,57145,195301
Peak_785,chr3,52027,115574
Peak_786,chr20,58615,128018
Peak_787,chr8,80431,123629
Peak_788,chr2,69217,160047
Peak_789,chr16,78528,112113
Peak_790,chr22,48010,197653
Peak_791,chr1,79781,127655
Peak_792,chr18,13575,184209
Peak_793,chr17,53084,135790
Peak_794,chr21,8643,117959
Peak_795,chr13,43476,129886
Peak_796,chr4,28146,114099
Peak_797,chr21,80800,119551
Peak_798,chr2,82213,130232
Peak_799,chr17,63426,122338
Peak_800,chr1,46644,171974
Peak_801,chr15,7729,155422
Peak_802,chr5,59482,133328
Peak_803,chr18,27451,128020
Peak_804,chr21,29584,145651
Peak_805,chr17,10014,104304
Peak_806,chr18,76885,130863
Peak_807,chr2,72979,177208
Peak_808,chr5,5029,137344
Peak_809,chr6,12937,166438
Peak_810,chr22,12932,126259
Peak_811,chr5,69053,163854
Peak_812,chr21,71082,196978
Peak_813,chr19,95437,187117
Peak_814,chr20,12632,122956
Peak_815,chr5,95028,108299
Peak_816,chr3,72162,181253
Peak_817,chr11,66947,180232
Peak_818,chr22,19497,128184
Peak_819,chr1,44653,113708
Peak_820,chr6,93159,149430
Peak_821,chr16,87750,179951
Peak_822,chr9,59899,197363
Peak_823,chr5,2960,168783
Peak_824,chr12,8412,181290
Peak_825,chr8,25003,130515
Peak_826,chr2,74217,133144
Peak_827,chr5,9077,102552
Peak_828,chr18,58024,127869
Peak_829,chr14,19955,108917
Peak_830,chr4,30999,156744
Peak_831,chr9,24037,172976
Peak_832,chr5,34916,174989
Peak_833,chr17,53804,181377
Peak_834,chr6,29848,179898
Peak_835,chr4,64969,177927
Peak_836,chr21,56831,181895
Peak_837,chr11,30059,175065
Peak_838,chr18,95997,192438
Peak_839,chr1,24082,146214
Peak_840,chr6,70759,135776
Peak_841,chr2,14188,121563
Peak_842,chr15,56517,156245
Peak_843,chr8,33914,182883
Peak_844,chr14,84375,159424
Peak_845,chr10,23707,187629
Peak_846,chr2,17029,164794
Peak_847,chr21,32385,125989
Peak_848,chr16,61150,158848
Peak_849,chr8,29191,140615
Peak_850,chr1,1621,113662
Peak_851,chr10,47520,117052
Peak_852,chr3,92066,174268
Peak_853,chr11,66069,158123
Peak_854,chr21,41731,199248
Peak_855,chr4,96111,187831
Peak_856,chr13,31009,120454
Peak_857,chr9,79027,143574
Peak_858,chr2,68939,188670
Peak_859,chr22,38428,153237
Peak_860,chr6,82557,181263
Peak_861,chr14,71611,132621
Peak_862,chr8,85167,110067
Peak_863,chr6,56478,113982
Peak_864,chr7,77281,195551
Peak_865,chr21,21024,133711
Peak_866,chr4,15544,106898
Peak_867,chr17,93047,192171
Peak_868,chr5,74276,198551
Peak_869,chr6,60769,132273
Peak_870,chr20,54355,171165
Peak_871,chr5,7104,167430
